category,scope,region,target,lead_months,model,calibration,n_test_months,bs_reference,bs_model,bss_vs_climatology,bss_ci_low,bss_ci_high,roc_auc_dry,hss,delta_bss,claim_status,headline,notes,source_file
central_valley_calibrated_checkpoint,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial,isotonic,63,0.0643,0.06394,0.00525,-0.0622,0.0733,,,,positive_uncertain,True,Validation-selected post-hoc calibration; this is the primary Central Valley probability-skill checkpoint.,outputs/calib_study_results.csv
central_valley_calibrated_checkpoint,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGB,isotonic,63,0.0643,0.06839,-0.06395,-0.2165,0.0492,,,,not_distinguishable_from_climatology,True,Validation-selected post-hoc calibration; this is the primary Central Valley probability-skill checkpoint.,outputs/calib_study_results.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial + gridded temperature/VPD selected,selected,63,0.06427839150335463,0.0672850632124502,-0.04677577703447455,-0.13077505888753707,0.023428449689384987,,,,not_distinguishable_from_climatology,True,ERA5-Land gridded t2m/VPD anomaly lags interpolated to CHIRPS grid.,outputs/met_spatial_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + regional temperature/VPD selected,selected,63,0.06427839150335463,0.07020302324887273,-0.09217143750725154,-0.1772762021284822,-0.03342030607863104,,,,robust_negative,True,ERA5-Land regional t2m/VPD anomaly lags.,outputs/met_feature_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + soil moisture selected,selected,63,0.06427839150335463,0.07443511272221977,-0.15801144025726077,-0.3845280871285667,-0.048934553933159514,,,,robust_negative,True,ERA5-Land soil-water/root-zone anomaly lags.,outputs/soil_moisture_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + MJO/IVT selected,selected,39,0.07910280893765495,0.10545040915099993,-0.3330804628456481,-1.0437006432445564,-0.08263635721544635,,,,robust_negative,True,MJO RMM monthly features plus optional ERA5 IVT anomalies; shorter test period.,outputs/atmos_feature_xgb_monthly_scores.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,Climatological baseline,raw_or_model_default,63,0.0643,0.0643,0.0,,,,0.0,,reference,True,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,Random Forest,raw_or_model_default,63,0.0643,0.0686,-0.0679,-0.4051,0.0972,0.6614,-0.0427,,not_distinguishable_from_climatology,True,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGBoost-Spatial,raw_or_model_default,63,0.0643,0.0717,-0.1154,-0.7693,0.2234,0.7432,0.0392,,not_distinguishable_from_climatology,True,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,ConvLSTM,raw_or_model_default,63,0.0643,0.0872,-0.3565,-1.2722,0.0264,0.5886,0.0933,,not_distinguishable_from_climatology,True,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
